Project_Name,Primary_Environmental_Mechanism,Procedure,Environmental_Aspect,Obligation_Number,Obligation,Accountability,Responsibility,ProjectPhase,Action_DueDate,Close_Out_Date,Status,Supporting_Information,General_Comments,Compliance_Comments,NonConformance_Comments,Evidence,PersonEmail,Recurring_Obligation,Recurring_Frequency,Recurring_Status,Recurring_Forcasted_Date,Inspection,Inspection_Frequency,Site_or_Desktop,"New_Control_action_required ",Obligation_type
SCJV - Pilbara Ports,Portside CEMP,PPA requirement,Administration,PCEMP-01,All personnel working on the PROJECT will undertake the required PPA induction via the Online Induction portal prior to commencing any work on site.,"SCJV - during construction
Perdaman - during operations",SCJV - HSSE Manager,Design and Construction,1/1/2107,,In Progress,"This includes:
�	Take 5 and JHA Induction
�	Security Induction
�	Environment and Cultural Heritage Induction
�	Health and Safety Induction
�	Site Specific Induction � Dampier
�	Emergency Control Organisation (ECO) Induction (if applicable)",,Verify compliance through training records.,,,,No,,,,No,,Desktop,,Training
SCJV - Pilbara Ports,Portside CEMP,,Cultural Heritage Management,PCEMP-02,The OWNER and MAC will establish a structured Aboriginal Heritage Liaison and Dispute Resolution Committee that provides a formal consultation on Aboriginal Cultural Heritage (ACH) matters for the Project.,Perdaman,Perdaman - Env & Heritage Manager,Design and Construction,8/1/2024,,Completed,,Completed for overall project already.,Find completion date in obligations register.,,,,No,,,,No,,Desktop,,Consultations
SCJV - Pilbara Ports,Portside CEMP,Portside CEMP ,Administration,PCEMP-03,An environmental induction shall be developed by the CONTRACTOR for all personnel working on the site.,SCJV,SCJV - HSSE Manager,Design and Construction,8/1/2024,,Completed,"The CONTRACTOR Induction shall include, but not be limited to the following:
�	Key legal obligations including PROJECT approvals (EP Act, EPBC Act, PA Act, AH Act)
�	Land access restrictions
�	Aboriginal heritage sites and cultural awareness (Murujuga Rock Art Strategy & MAC involvement in PROJECT)
�	CEMP Summary
�	Protection of fauna, identification of protected fauna species and reporting requirements (sightings and injuries)
�	Hazardous materials storage and use
�	Spill management including use of spill kits
�	Waste management
�	Incident and hazard reporting",,Verify compliance through training records.,,,,No,,,,No,,Desktop,,Training
SCJV - Pilbara Ports,Portside CEMP,Portside CEMP ,Administration,PCEMP-04,Personnel will undertake assessments throughout the induction to demonstrate their understanding and provide a record of inductions.,SCJV,SCJV - HSSE Manager,Design and Construction,1/1/2027,,In Progress,,,Verify compliance through training records.,,,,No,,,,No,,Desktop,,Training
SCJV - Pilbara Ports,Portside CEMP,Portside CEMP ,Administration,PCEMP-05,The HSSE Manager and Environmental Lead will identify the training needs for personnel onsite and establish a schedule of environmental training.,SCJV,SCJV - Environmental Lead,Design and Construction,1/1/2027,,Not Started,"An outline of proposed training is provided in Table 3 of the Portside CEMP. Training may be tailored for specific environmental issues, certain work groups of activities associated with significant risk.",,Verify compliance through training records.,,,,No,,,,No,,Desktop,,Training
SCJV - Pilbara Ports,Portside CEMP,Portside CEMP ,Administration,PCEMP-06,Personnel will be subject to continuous environmental training throughout the PROJECT life via regular toolbox talks,SCJV,SCJV - HSSE Manager,Throughout the project,1/1/2107,,Not Started,Toolbox talks will address particularly relevant tasks or issues. Pre-start meetings will be used to remind staff of environmental management issues.,,Verify compliance through monitoring of toolbox talks which are to be captured in audits.,,,,No,,,,No,,Desktop,,Training
SCJV - Pilbara Ports,Portside CEMP,,Administration,PCEMP-07,The HSSE Manager and Environmental Lead will be responsible for maintaining and recording training on a Training Attendance Form. These records shall be transferred to the PROJECT Training Register (Site HSSE Inductions Work Instruction 0000-ZA-E-02901). This register will be made available to the OWNER environmental representative on request.,"SCJV - during construction
Perdaman - during operations",SCJV - Environmental Lead,Throughout the project,1/1/2107,,Not Started,"As a minimum the following will be recorded and maintained:
�	Records of training attendance e.g.: induction training, toolbox meetings.
�	Copies of training materials.
�	Competency assessments (where relevant).
�	Training matrix.",,Verify compliance through training records and audits.,,,,No,,,,No,,Desktop,,Training
SCJV - Pilbara Ports,Portside CEMP,,Administration,PCEMP-08,"CONTRACTOR will provide a field supervisor mentoring program to allow for ongoing support, training and mentoring, which will assist in the implementation of the CONTRACTOR Target Zero Management Plan.","SCJV - during construction
Perdaman - during operations",SCJV - Environmental Lead,Throughout the project,1/1/2107,,Not Started,"This will incorporate the following:
�	Supervisory leadership
�	Effective communication and issue resolution
�	HSSE responsibilities and accountability
�	Legislative Requirements
�	Environmental and Heritage requirements
�	PROJECT HSSE expectations.",,Verify compliance through training records and audits.,,,,No,,,,No,,Desktop,,Training
SCJV - Pilbara Ports,Portside CEMP,Fauna Management Plan,Terrestrial Fauna Management,PCEMP-09,Trenching activities and excavations will be carried out in such a way to minimise impacts to fauna during construction.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Terrestrial Fauna Management,PCEMP-10,Open excavations shall be checked for trapped fauna no later than 3 hours after sunrise each day.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Daily,Site,,Site based
